vineyard_winery|ava|appellation|region|state|wine_name|style|wine_type|varietal_breakdown_array|vintage|description|alcohol_percent|price|date_scraped
https://www.jackcreekcellars.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Willow Creek District|Paso Robles|CA|Hillside Reserve Pinot Noir|Red|Varietal|Pinot Noir:1|2018|The extremely fruit forward like the Estate Pinot Noir, the Reserve showcases a huskiness to it. Dark cherries and ripe bramble fruits intertwined with a trace of hazelnut give this wine a smooth but spicy feel. As the finish lingers on, the Hillside Reserve is a wine that is not easily forgotten. The name “Hillside Reserve” reflects our desire to be more vineyard and pick specific for the Estate and Reserve Pinot Noirs. With six clones on Pinot Noir on our property, our goal is to dial in each clone along with our barrel program to make the best “Estate” and “Hillside Reserve” we can!|0.144|46|2020-10-01
https://www.jackcreekcellars.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Willow Creek District|Paso Robles|CA|Syrah|Red|Varietal|Syrah:1|2017|This wine brings back memories-memories of holiday dinners. Grown in the coldest section of the Estate Vineyard, the Syrah reminds us of baked plum pie. A toastiness from the oak, a whisper of nutmeg on the finish combine the plum to deliver a velvety, full-bodied wine. Not for the faint of hear but OH SO GOOD!|0.161|44|2020-10-01
https://www.jackcreekcellars.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Willow Creek District|Paso Robles|CA|"""Stained"" Pinot Noir"|Red|Varietal|Pinot Noir:1|2014|"This is the 3rd vintage of our ""Stained"" series which is red wine fermented and aged entirely in our concrete egg.  The wine is seemingly delicate at first, with traditional Pinot Noir notes- cranberry, pomegranate, forest floor- with surprising structure originating entirely from the grapes."|0.145|40|2020-10-01
https://www.jackcreekcellars.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Willow Creek District|Paso Robles|CA|Chardonnay|White|Varietal|Chardonnay:1|2017||0.141|36|2020-10-01
https://www.jackcreekcellars.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Willow Creek District|Paso Robles|CA|Estate Chardonnay|White|Varietal|Chardonnay:1|2018|Fragrant white flowers and subtle hints of pear excite the taste buds just before Crème Brule melds with the bright pear on the palate. A touch of French oak with no malolactic fermentation allows this Chardonnay to be clean and crisp yet so complex. We know you’ll enjoy it.|0.142|36|2020-10-01
https://www.jackcreekcellars.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Willow Creek District|Paso Robles|CA|Estate Cuvee|Sparkling|Blend|Pinot Noir:,Chardonnay:|2013|Using méthode traditionelle techniques, the 2013 Estate Cuvee is a blend of Pinot Noir and Chardonnay. The cuvee has notes of citrus fruits and a roundness of almond paste.|0.125|45|2020-10-01
https://www.jackcreekcellars.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Willow Creek District|Paso Robles|CA|Blanc de Blancs|Sparkling|Blend|NA:|2013||0.125|45|2020-10-01
https://www.jackcreekcellars.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Willow Creek District|Paso Robles|CA|"""Glow"" Rose"|Rose|Varietal|Pinot Noir:1|2019||0.142|26|2020-10-01
https://www.villicanawinery.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Adelaida District|Paso Robles|CA|Estate Viognier|White|Blend|Viognier:.85,Grenache Blanc:.15|2019|Viognier is known as the white wine for red wine lovers because of the naturally high levels of glycerol it produces. Glycerol is responsible for the viscous mouth feel and can be visually seen as “legs” on the side of your wine glass when you swirl. What glycerol does to your glass it does to your mouth, coats it with rich, lingering flavors. The Grenache Blanc gives this wine bright acidity and distinct pear, citrus, and herbal flavors. The higher alcohol content that Grenache Blanc has often leaves a spice-like finish. Delicious!||28|2020-10-01
https://www.villicanawinery.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Adelaida District|Paso Robles|CA|Estate Liquid Hope Rose|Rose|Blend|Mourvedre:.47,Grenache:.21,Syrah:.19,Viognier:.13|2019|"Don't let the pink color throw you off, this is not a sweet wine. Rather it is rich in flavors and full-mouth feel because it is made from red wine grapes. And, it is crisp in acidity because it was picked earlier in the growing season. It is the perfect summer wine. Perfect with bbq, fish, appetizers, and anything else you can think of!

Once again, we dedicate our very popular Vin Rosé to our, unfortunately many, club members, friends, and family who have been touched by cancer. We personally know that it is hope, and loved ones, who get us through these difficult times, thus the name Liquid Hope. Whether it is you personally, or someone close to you, this devastating diagnosis touches the lives of so many.

As it states on the back of the label, our Rosé was crafted to be enjoyed and shared now, not in 5 years, as we know that our friends battling illness and their families are living in the hopes and possibilities of today, not tomorrow. $1 of every bottle has been donated to help those who are currently faced with cancer. We are hopeful that every little bit helps.

Please raise a glass in celebration of the gift of another day for the many of you who have put this battle behind, and for the hopes and possibilities that lay ahead for those who are currently facing difficult times. Also, please say a toast for those who have passed, and are still vibrant in our hearts, including my beloved mom, Tina. This was one of her favorite wines (2nd to our Zinfandel)."|0.139|25|2020-10-01
https://www.villicanawinery.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Adelaida District|Paso Robles|CA|Estate Grenache|Red|Varietal|Grenache:1|2017|This wine was aged in two 130-gallon French oak puncheons (barrel)s - 1 new and 1 neutral. A puncheon is a large barrel (a traditional barrel is 60 gallons) which, due to the surface to volume ratio, gives the wine soft notes of sweet oak. This wine has a bright nose of blackberry that translates to a rich mouth-feel. The firm tannins and crisp acidity make it a great food wine and a lovely option for cellar aging.|0.1475|45|2020-10-01
https://www.villicanawinery.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Adelaida District|Paso Robles|CA|Estate GSM|Red|Varietal|Grenache:.33,Syrah:.33,Mourvedre:.33|2016|The Grenache, Syrah, Mourvèdre (GSM) blend originated in the southern part of the Rhône Valley in France. The ganache grape adds an almost candied fruit flavor, spice, and higher alcohol content which helps with the finish. The Syrah provided the blend with a bold up-front flavor, and the mourvèdre contributes to the color, tannin structure (bitterness), and melds beautifully with the Grenache to provide a long finish on the palate.||45|2020-10-01
https://www.villicanawinery.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Adelaida District|Paso Robles|CA|Estate GSM|Red|Varietal|Grenache:.33,Syrah:.33,Mourvedre:.34|2017|The Grenache, Syrah, Mourvèdre (GSM) blend originated in the southern part of the Rhône Valley in France. The ganache grape adds an almost candied fruit flavor, spice, and higher alcohol content which helps with the finish. The Syrah provided the blend with a bold up-front flavor, and the mourvèdre contributes to the color, tannin structure (bitterness), and melds beautifully with the Grenache to provide a long finish on the palate.|0.149|46|2020-10-01
https://www.villicanawinery.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Adelaida District|Paso Robles|CA|Estate Cabernet Sauvignon|Red|Blend|Cabernet Sauvignon:.8,Merlot:.2|2017|Our cabernet sauvignon vineyard represents our oldest and largest block of vines in our vineyard. Planted in 1997, 1998, and 1999 on a hillside that faces directly west, it accounts for approximately 5 acres. Consistent with past vintages, this cabernet has rich cherry and blackberry flavors that meld nicely with the medium tannin structure and crisp acidity. It is a great food Cabernet while possessing an elegance that is sure to be enjoyed on its own.|0.147|40|2020-10-01
https://www.villicanawinery.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Adelaida District|Paso Robles|CA|Estate Winemaker's Cuvée|Red|Blend|Cabernet Franc:.52,Mourvedre:.35,Syrah:.13|2017|Year after year, our Winemaker's Cuvée proves to be one of our most popular wines. While the blend and the varietals change with each vintage, we are able to create a harmonious and balanced wine that is wonderful with food. Not one characteristic in this wine overshadows another leaving balanced flavors of fruit, oak, and tannin. A wine that is nicely balanced tends to go with a broader range of foods and is also delicious and smooth on its own! We hope you enjoy our 2016 vintage of this crowd-pleasing wine!|0.145|36|2020-10-01
https://www.villicanawinery.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Adelaida District|Paso Robles|CA|Estate Merlot|Red|Varietal|Merlot:1|2017|We have slightly less than an acre of this varietal planted in just the perfect spot. So perfect, that we are unable to expand on the planting. It is planted at the lowest section of our vineyard where the soil is deepest because it benefits from the erosion from the rest of our hillside vineyard. We employ a deficit irrigation philosophy (using sparse irrigation during the growing season) which keeps the berries in the clusters very small. The lack of excess water in the grape enables us to craft a wine that is robust in flavor and color. Also, by not fully irrigating the vineyard, the roots of the Merlot vines dig deep looking for water giving the vines more character and flavor layers for Alex to do his magic. The movie Sideways cast a dark cloud over the Merlot varietal however, if planted in the right place and farmed properly we would put this varietal up against any other!||45|2020-10-01
https://www.villicanawinery.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Adelaida District|Paso Robles|CA|Estate Mourvédre|Red|Varietal|Mourvedre:1|2017|We look forward to fall because we enjoy the full flavors of our Mourvédre. This rich wine has medium tannin structure combined with rich plum and red fruit flavors. It is the perfect winter wine and pairs best with heartier foods such as stews, shepherd's pie, and other delicious winter dishes. Drink now - 2025.|0.15|45|2020-10-01
https://www.villicanawinery.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Adelaida District|Paso Robles|CA|Estate Mourvédre|Red|Varietal|Mourvedre:1|2018|The full flavor and round mouthfeel of Mourvédre is one reason why we look forward to fall each year. This rich wine has a medium-high tannin structure combined with rich plum and red fruit flavors. It is perfect for cold nights as it pairs beautifully with heartier dishes like stews, shepherd's pie, lasagna, and creamy bisques. It is one of the more onerous varities to get fully ripe as it needs a hot, dry climate. Our hilltop vineyard facilitates warmer fall weather which allows us to grow this variety to its full potential which is why we like to showcase it as a 100% varietal wine. Year-after-year, it is the last variety we harvest in our vineyard.|0.15|45|2020-10-01
https://www.villicanawinery.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Adelaida District|Paso Robles|CA|Estate Zinfandel|Red|Blend|Zinfandel:.75,Syrah:.2,Viognier:.05|2017|We take a harmonious approach when crafting our Zinfandel and are careful to ensure balance and layering. Our Zinfandel vineyard is terraced into a south facing hillside and is sparsely irrigated. We use the irrigation to keep the grapes hydrated before harvest allowing the grapes to stay on the vine longer, thus maximizing ripeness which imparts flavors of plum and rich red fruit. This Zinfandel is naturally lighter in tannins and full in fruit which makes it a crowd pleaser. It was made to be enjoyed by itself or with food (and while preparing the food)!||36|2020-10-01
https://www.villicanawinery.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Adelaida District|Paso Robles|CA|Estate Syrah|Red|Blend|Syrah:,Grenache:,Viognier:|2016|The syrah grape itself is small, dark, and thick-skinned which produces juice that is high in tannin, rich in concentration, and dark (almost black) color. Due to the warmer climate in our vineyard, our Syrah shows flavors of dark cherry, blackberry, and raspberry along with a nice pepper element. We blend our syrah with Grenache and Viognier to lighten up the density of the syrah, to add complexity, and to balance out the acidity. The Viognier also helps to round the mouth-feel.|0.1475|40|2020-10-01
https://manucciwinery.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Adelaida District|Paso Robles|CA|Syrah|Red|Varietal|Syrah:1|2014|Single Estate Limited Edition. Our Syrah, once again raises it pretty little head. Setting the bar high, others pale in its presence of ripe black cherry, beautiful spice, velvet tannins and color of deep crimson. A perfectly balanced wine with years of longevity. Easily held for a few years if you can keep your coyote paws off of it and resist the melodious song of this siren. Only 300-cases produced||35|2020-10-05
https://manucciwinery.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Adelaida District|Paso Robles|CA|Blend|Red|Blend|Syrah:,Mourvedre:,Zinfandel:|2015|Single Estate Limited Edition. Blend of Syrah, Mourvedre and Zinfandel. Lets face it, a perfect blend is a thing of beauty and The House-of-Reds is a joy to behold. In color, taste and balance it is true divine intervention. The perfect combination of our Classic Reds. The black cherry of the Syrah, the strawberries and truffles of the Mourvedre and the raspberry of the Zinfandel bring this stunning blend into full frame for the perfect glass of wine. A crowd pleaser every time. Only 225-cases produced.||35|2020-10-05
https://manucciwinery.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Adelaida District|Paso Robles|CA|Cab Sauvignon|Red|Varietal|Cabernet Sauvignon:1|2015|Single Estate Limited Edition- As deep and inky as a stormy brooding sky. This Cabernet builds big, billowy flavor clouds of monstrous proportions. A Black Cherry reduction with a breeze of spice and a breath of California Bay. All join in a band of high level Cirrus clouds to deposit a flurry of soft tannins that build into a towering, thunderous symphonic rumble. First low and growly, then evolving into a dark raucous bolt of purple lightning to reveal its true nature. Oh yes, “There’s a storm brewing Martha!” Grab the bottle and head for the cellar! Only 200-cases produced.||50|2020-10-05
https://manucciwinery.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Adelaida District|Paso Robles|CA|Tannat|Red|Varietal|Tannat:1|2015|Single Estate Limited Edition. Chrome, smoke and leather. A very masculine wine. Pretty much an enigma. A sybaritic experience to be savored. This Tannat opens with shiny chrome up front and melts into a haze of smoke and the luxury of the softest of leathers. Indulgent and entitled. As smooth as the chrome bumper on a '55 Chevy. Only 150-cases produced.||50|2020-10-05
https://manucciwinery.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Adelaida District|Paso Robles|CA|Malbec|Red|Varietal|Malbec:1|2016|Single Estate Limited Edition. A silver screen diva. Glamorous elegance.  Reminiscent of all things sensuous and hedonistic. Captured in a cardinal veil, stealth like countless layers and impressively balanced.  Exquisite in every sense.  Opulent, seductive and languorous.  Intense and rapturous.  Black tie required.  Pinky's up! Only 100-cases produced.||45|2020-10-05
https://manucciwinery.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Adelaida District|Paso Robles|CA|Tempranillo|Red|Varietal|Tempranillo:1|2016|Single Estate Limited Edition. Open the bottle and step back! As with our previous vintages, our Tempranillo is a combination of attitude and dynamic style. Somewhere between seeing and not believing. A mid-palate explosion of black fruit and Harley saddle bags. Soft but edgy. Hectic and a bit chaotic. An appreciation for the mind numbing qualities is mandatory as is laying down for at least one year to allow this mistress of the dark, time to weave her web to captivate you, mind, body & soul. Only 100-cases produced.||45|2020-10-05
https://manucciwinery.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Adelaida District|Paso Robles|CA|Zin Port|Dessert|Varietal|Zinfandel:1|2016|"Single Estate limited edition ""Little Fawn"". This Dark Garnet Colored Vintage Dessert Wine Is Lively & Rich With Intense Fruit. Nicely Sweet with a Spice like Bouquet, Full Bodied & Balanced. The Finish Is Lengthy & Very Satisfying! The Perfect Way To End Your Evening With! Aged entirely in French & American Oak (only 125-cases produced/year)"||45|2020-10-05
https://manucciwinery.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Adelaida District|Paso Robles|CA|Mourvedre|Red|Varietal|Mourvedre:1|2018|Single Estate Limited Edition. Ahhhh, Mourvedre that stellar blending grape that can stand on her own high heels. Beautifully structured, a divine dance, an easy drinker with flavors of strawberries and truffles. Soft tannins and approachable. This beauty queen is a sunset in a glass...Sultry, creamy and dreamy. Only 98-cases produced||35|2020-10-05
http://www.slopeandintercept.com/|http://www.americanwineryguide.com/regions/adelaida-district-ava-wineries/|Adelaida District|Paso Robles|CA|Paso Robles Red|Red|Blend|Petit Verdot:.61,Souzao:.39|2014|"Vintage: 2014 was the third in a series of drought-like vintages for
Paso Robles. Extremely low levels of rainfall and very mild winter
temperatures produced a low-yielding early-ripening crop. Small
berries produced concentrated tannins, acids, flavors and color. A
challenging season for the vines, yet an excellent one for wine
quality.
Production: Both of these varieties are late ripening, which
allowed them to hang in the vineyard and be harvested on the
same day. In that way, they were fermented together in 1-ton open
top tanks. The destemmed whole berries were pumped over for the
initial 3 days of ferment until the yeast population had maximized.
At this point, a daily routine of 3 punch downs was maintained
until the free run juice was dry. The berries were then pressed and
all wine combined into once-used French puncheons after 12 hours
of settling. The wine was aged an additional 18 months without
racking.
Ageing: The inherent massive tannins, vibrant acidity and deep
dark fruit character of these wines beg for ageing. This bottle
should soften and develop complexity beautifully for 10 – 14 years.
Comments: This wine, made in Paso Robles in 2014, happens to
be an exact match for a dinner a dear friend served us in Northern
California over 5 years ago: braised brisket with pomegranate
juice, chestnuts and turnips; pumpkin and saffron jasmine rice
pilaf; tabbouleh with apples, walnuts and pomegranates; a simple
green salad. Create your own version of this meal and open a
bottle of our 2014 Paso Robles Red. Let your experiences of the two
meals--real and imaginary--mingle as you feast."|0.144|36|2020-10-05
